"supplierUrl","amaonUrl","size","similarity_result","distance","outsource","colorSimilarity",
"https://mi7.rightinthebox.com/images/240x240/201710/hpctwm1508899256290.jpg","http://ecx.images-amazon.com/images/I/4111yTT-X9L._SL75_.jpg","13232  5040",0.363414634146342,0.0714,0,0,
"https://d2ul0w83gls0j4.cloudfront.net/products/10/200/1084252.jpg","http://ecx.images-amazon.com/images/I/41M5v9bQG9L._SL75_.jpg","816  5744",0.363636363636364,0.0314,0,0.699699495756964,
"https://mediacdn.bellacor.com/images/500/1998GCDI02406_2.jpg","http://ecx.images-amazon.com/images/I/61vcI8%2BWeSL._SL75_.jpg","16112  16112",0.364,0.0568,0,0.489622445477708,
"https://mediacdn.bellacor.com/images/500/1998KC04A2608.jpg","http://ecx.images-amazon.com/images/I/51-R%2BKvc2KL._SL75_.jpg","16112  12848",0.364,0.0821,0,0.659072143579611,
"https://mi6.rightinthebox.com/images/240x240/201901/ebjhko1547791473089.jpg","http://ecx.images-amazon.com/images/I/51LQOTM3i7L._SL75_.jpg","12752  13744",0.364556962025316,0.0837,0,0.951486082864705,
"https://cdn.burlingtoncoatfactory.com//FileLibrary/215D35737262464BBEAF994415138360/BCF548416643_I_1.jpg","http://ecx.images-amazon.com/images/I/514QiukHiwL._SL75_.jpg","9936  10768",0.364820846905538,0.0323,0,0.996019568104629,
"https://ak1.ostkcdn.com/images/products/is/images/direct/83feb2817011692f3371ffd1b71a0490ceef1eeb/Black-%26-Decker-71020-AirSwivel-Upright-Vacuum-Filters-Kit.jpg?imwidth=320&impolicy=medium","http://ecx.images-amazon.com/images/I/31CrNzGDxAL._SL75_.jpg","13424  12112",0.365384615384615,0.0773,0,0,
"https://mi6.rightinthebox.com/images/240x240/201808/zwmbye1535348763098.jpg","http://ecx.images-amazon.com/images/I/51N82vwgp-L._SL75_.jpg","12272  14544",0.365789473684211,0.0392,0,0.469087133958012,
"https://secure.img1-fg.wfcdn.com/im/55622488/resize-h310-w310%5Ecompr-r85/1528/15282054/gourmet-enameled-cast-iron-55-qt-cast-iron-oval-dutch-oven.jpg","http://ecx.images-amazon.com/images/I/415GoTaM0SL._SL75_.jpg","8240  1936",0.366141732283465,0.0648,0,0,
"https://pisces.bbystatic.com/image2/BestBuy_US/images/products/5836/5836714_sa.jpg","http://ecx.images-amazon.com/images/I/41OeMFUPjXL._SL75_.jpg","14416  14544",0.366890380313199,0.073,0,0,
"https://media.kohlsimg.com/is/image/kohls/3273360?wid=240&hei=240&op_sharpen=1","http://ecx.images-amazon.com/images/I/41hNOhgsplL._SL75_.jpg","10032  8752",0.367741935483871,0.0986,0,0.142754282718114,
"https://cdn-tp3.mozu.com/24645-37138/cms/37138/files/ca07c597-2b28-469d-b18b-b6d8c8536c05?max=300&quality=50&_mzcb=_1540212057301","http://ecx.images-amazon.com/images/I/51UV62gVxKL._SL75_.jpg","13072  15216",0.367901234567901,0.0585,0,0,
"https://cdn8.bigcommerce.com/s-0kvv9/images/stencil/400x400/products/276929/388523/popthanosbluchrome__83943.1541517214.jpg?c=2","http://ecx.images-amazon.com/images/I/51egQLLU80L._SL75_.jpg","16112  15824",0.368,0.0657,0,1,
"https://mi3.rightinthebox.com/images/240x240/201712/vswknf1512724482161.jpg","http://ecx.images-amazon.com/images/I/517wtuO0ZFL._SL75_.jpg","13552  14192",0.369047619047619,0.0454,0,0.140132992426906,
"https://mi8.rightinthebox.com/images/190x190/201706/psrfyb1498803087174.jpg","http://ecx.images-amazon.com/images/I/41vZU5VVDpL._SL75_.jpg","2960  8400",0.370786516853933,0.0873,0,0.207439389276024,
"https://cdn8.bigcommerce.com/s-0kvv9/images/stencil/400x400/products/171806/244463/lorofrintowa6dp__75520.1505094867.jpg?c=2","http://ecx.images-amazon.com/images/I/514osubkWOL._SL75_.jpg","15376  15376",0.371069182389937,0.0679,0,0.253083549223455,
"https://c.shld.net/rpx/i/s/pi/mp/29267/prod_4877669423?src=http%3A%2F%2Fm2.uxcell.com%2Fphoto_new%2F20130304%2Fg%2Fux_a13030400ux0743_ux_g03.jpg&d=f0b98bd87435c6a80df5320046ee2f964ab6b98e&hei=245&wid=245&op_sharpen=1&qlt=85","http://ecx.images-amazon.com/images/I/51qaCaV8PmL._SL75_.jpg","3216  10896",0.371134020618557,0.0715,0,0,
"https://cdn8.bigcommerce.com/s-0kvv9/images/stencil/400x400/products/248671/342481/megabloks5636__49989.1519978069.jpg?c=2","http://ecx.images-amazon.com/images/I/41BfT4fyOHL._SL75_.jpg","16112  14096",0.372,0.0793,0,0,
"https://cdnimages.opentip.com/thumbs/MIS/MIS-ES636_160_160.jpg","http://ecx.images-amazon.com/images/I/31x4%2BR7TrGL._SL75_.jpg","1488  2384",0.372093023255814,0.1,0,0.540025119649846,
"https://images10.newegg.com/NeweggImage/ProductImageCompressAll300/V06W_1_20170828877760329.jpg","http://ecx.images-amazon.com/images/I/310XKsrS1-L._SL75_.jpg","5008  4304",0.372549019607843,0.0866,0,0.252379092277615,
"https://img.staticbg.com/thumb/gallery/oaupload/banggood/images/48/39/d931a1ef-1f4a-4a23-bee2-8e67a218a909.png","http://ecx.images-amazon.com/images/I/51Nf8XbyjLL._SL75_.jpg","3888  11152",0.372881355932203,0.0728,0,0,
"https://mi2.rightinthebox.com/images/190x190/201506/piifqs1434270129870.jpg","http://ecx.images-amazon.com/images/I/515jx%2BUumBL._SL75_.jpg","4656  9840",0.373239436619718,0.0572,0,0,
"https://mi2.rightinthebox.com/images/190x190/201506/piifqs1434270129870.jpg","http://ecx.images-amazon.com/images/I/515jx%2BUumBL._SL75_.jpg","4656  9840",0.373239436619718,0.0572,0,0,
"https://d2ul0w83gls0j4.cloudfront.net/products/11/200/1137236.jpg","http://ecx.images-amazon.com/images/I/41VG8JC0BAL._SL75_.jpg","9712  11184",0.373333333333333,0.0972,0,0,
"https://cdn8.bigcommerce.com/s-0kvv9/images/stencil/400x400/products/263949/368097/legotorsoblueshirtpalmtrees__16450.1529691837.jpg?c=2","http://ecx.images-amazon.com/images/I/413NVXVuwJL._SL75_.jpg","16112  13040",0.374,0.0838,0,0.306596591719166,
"https://imagesprod2.dickssportinggoods.com/is/image/dkscdn/16TNOUJSTR15XXXXXTRV_Limestone_Grey_Asphaltgry_is/?$DSG_ProductCard$","http://ecx.images-amazon.com/images/I/41VM00lJORL._SL75_.jpg","11056  1072",0.37719298245614,0.0563,0,0.326022346740584,
"https://mi5.rightinthebox.com/images/240x240/201803/ctbgda1520853614452.jpg","http://ecx.images-amazon.com/images/I/51x1254352L._SL75_.jpg","13680  14512",0.377358490566038,0.0594,0,0,
"https://mi5.rightinthebox.com/images/240x240/201803/ctbgda1520853614452.jpg","http://ecx.images-amazon.com/images/I/51x1254352L._SL75_.jpg","13680  14512",0.377358490566038,0.0556,0,0,
"https://mi7.rightinthebox.com/images/190x190/201703/gimebg1490152603138.jpg","http://ecx.images-amazon.com/images/I/51m4aioudQL._SL75_.jpg","10960  12720",0.377581120943953,,0,0.37221590427617,
"https://mi7.rightinthebox.com/images/190x190/201703/gimebg1490152603138.jpg","http://ecx.images-amazon.com/images/I/51m4aioudQL._SL75_.jpg","10960  12720",0.377581120943953,0.0952,0,0.37221590427617,
"https://mi7.rightinthebox.com/images/190x190/201703/gimebg1490152603138.jpg","http://ecx.images-amazon.com/images/I/51m4aioudQL._SL75_.jpg","10960  12720",0.377581120943953,,0,0.37221590427617,
"https://imagesprod.dickssportinggoods.com/is/image/dkscdn/17NIKMNFLPCKRSCTNAPT_is/?$DSG_ProductCard$","http://ecx.images-amazon.com/images/I/41mfKOednrL._SL75_.jpg","9008  6320",0.377697841726619,0.0606,0,0.383662791649059,
"https://cdn8.bigcommerce.com/s-0kvv9/images/stencil/400x400/products/208507/294430/apintrylf__96024.1520004472.jpg?c=2","http://ecx.images-amazon.com/images/I/51CIFbzrFmL._SL75_.jpg","16112  16112",0.378,0.0509,0,0,
"https://images10.newegg.com/NeweggImage/ProductImageCompressAll300/A725_131645216533126934BqUeuaKSuJ.jpg","http://ecx.images-amazon.com/images/I/31IHC%2B5oi-L._SL75_.jpg","9136  8880",0.379432624113475,0.0669,0,0,
"http://images.samsclubresources.com/is/image/samsclub/0040980042027_A?$img_size_222x222$","http://ecx.images-amazon.com/images/I/51CmCteV5PL._SL75_.jpg","9264  13680",0.381118881118881,0.0188,0,0.2646108275363,
