,"supplierUrl","amaonUrl","size","similarity_result","distance","outsource","colorSimilarity"
697,"https://target.scene7.com/is/image/Target/14528974?wid=325&hei=325&qlt=80&fmt=pjpeg","http://ecx.images-amazon.com/images/I/51s5kzhq2ZL._SL75_.jpg","15888  15952",0.391480730223124,0.0282,-1,0.012460362751066
900,"https://target.scene7.com/is/image/Target/53211756?wid=325&hei=325&qlt=80&fmt=pjpeg","http://ecx.images-amazon.com/images/I/31wdwQEQnqL._SL75_.jpg","13680  944",0.391509433962264,0.1533,-1,2.72487532845128
989,"https://s7d4.scene7.com/is/image/BonTon/1317608?$medium_245$","http://ecx.images-amazon.com/images/I/41XQHZzVCPL._SL75_.jpg","14576  12048",0.391592920353982,0.0803,-1,0
829,"https://target.scene7.com/is/image/Target/53224886?wid=325&hei=325&qlt=80&fmt=webp","http://ecx.images-amazon.com/images/I/41FsJTlg9nL._SL75_.jpg","14960  1968",0.392241379310345,0.1561,-1,0.996687497992692
188,"https://imagesprod3.dickssportinggoods.com/is/image/dkscdn/17BLTUNHLPNS5XCHMHDG_is/?$DSG_ProductCard$","http://ecx.images-amazon.com/images/I/5128Sl4-dmL._SL75_.jpg","10544  11888",0.392638036809816,0.0397,-1,0
78,"http://g.christianbook.com/dg/product/cbd/w163/536397.jpg","http://ecx.images-amazon.com/images/I/41LtOzlVfnL._SL75_.jpg","4592  7600",0.392857142857143,0.2202,-1,1.39378050857037
264,"https://images.bonanzastatic.com/afu/images/a5d4/a16f/4ca1_4934176622/s-l1600_thumb200.jpg","http://ecx.images-amazon.com/images/I/419D9QTQ0LL._SL75_.jpg","13552  2864",0.392857142857143,0.0938,-1,97.8396034347831
815,"https://target.scene7.com/is/image/Target/51191292?wid=325&hei=325&qlt=80&fmt=pjpeg","http://ecx.images-amazon.com/images/I/51QpgyDyiTL._SL75_.jpg","16112  15184",0.394,0.0341,-1,0
721,"https://target.scene7.com/is/image/Target/51583544?wid=325&hei=325&qlt=80&fmt=webp","http://ecx.images-amazon.com/images/I/51RKP5BaoFL._SL75_.jpg","15664  16112",0.395061728395062,0.0821,-1,0.00781161118842
182,"https://imagesprod3.dickssportinggoods.com/is/image/dkscdn/17CLMYNCKSTRGY47PAPO_is/?$DSG_ProductCard$","http://ecx.images-amazon.com/images/I/511w6BjYpSL._SL75_.jpg","7472  6096",0.395652173913043,0.0945,-1,0.091410475726171
58,"http://g.christianbook.com/dg/product/cbd/w163/097202.jpg","http://ecx.images-amazon.com/images/I/515jRtGT0aL._SL75_.jpg","11920  10768",0.395663956639566,0.1602,-1,8.70677784219404
902,"https://target.scene7.com/is/image/Target/52986830?wid=325&hei=325&qlt=80&fmt=webp","http://ecx.images-amazon.com/images/I/41XcAxenBkL._SL75_.jpg","12080  13264",0.39572192513369,0.1003,-1,0
155,"https://www.511tactical.com/media/catalog/product/cache/small_image/240x240/beff4985b56e3afdbeabfc89641a4582/10041AF/831/10041AF_831_small.jpg","http://ecx.images-amazon.com/images/I/41UTdFYynZL._SL75_.jpg","12560  13168",0.395886889460154,0.1132,-1,3.64568464306103E-09
104,"http://g.christianbook.com/dg/product/cbd/w163/284493.jpg","http://ecx.images-amazon.com/images/I/51ocEqy1f0L._SL75_.jpg","11184  10384",0.395953757225433,0.2367,-1,0.3230214576968
557,"https://img.chewy.com/is/catalog/49311._AC_SS190_V1460478783_.jpg","http://ecx.images-amazon.com/images/I/41KD339yJXL._SL75_.jpg","12048  10864",0.396782841823056,0.031,-1,0
784,"https://target.scene7.com/is/image/Target/51203939?wid=325&hei=325&qlt=80&fmt=webp","http://ecx.images-amazon.com/images/I/518THF8E3EL._SL75_.jpg","15248  15376",0.397463002114165,0.1139,-1,0
901,"https://target.scene7.com/is/image/Target/52346359?wid=325&hei=325&qlt=80&fmt=webp","http://ecx.images-amazon.com/images/I/51Z5cmWcR%2BL._SL75_.jpg","14672  13744",0.397802197802198,0.103,-1,0.143406894673218
763,"https://target.scene7.com/is/image/Target/52410141?wid=325&hei=325&qlt=80&fmt=pjpeg","http://ecx.images-amazon.com/images/I/51d-eaMVDtL._SL75_.jpg","16112  12528",0.398,0.0389,-1,0.004119429806963
536,"https://images.bonanzastatic.com/afu/images/1e7d/13df/5215_4739316541/s-l1600_thumb200.jpg","http://ecx.images-amazon.com/images/I/513Zan91FAL._SL75_.jpg","7248  6896",0.399103139013453,0.1123,-1,1
754,"https://target.scene7.com/is/image/Target/53042592?wid=325&hei=325&qlt=80&fmt=webp","http://ecx.images-amazon.com/images/I/51X5WChj0KL._SL75_.jpg","14768  1488",0.399563318777293,0.0517,-1,5.4976645612345
268,"https://images.bonanzastatic.com/afu/images/cc8e/8756/8f17_5857735342/-tension-tools-strength-exerciser-muscle-power-hand-silicone-expander-training-recovery_thumb200.jpg","http://ecx.images-amazon.com/images/I/41D4HE%2BcJpL._SL75_.jpg","13232  12944",0.4,0.0467,-1,0
232,"https://images.bonanzastatic.com/afu/images/b4fb/8fd9/288e_6114215923/s-l1600_thumb200.jpg","http://ecx.images-amazon.com/images/I/4117M0-l-DL._SL75_.jpg","592  9840",0.4,0.1226,-1,30.3351241649005
814,"https://target.scene7.com/is/image/Target/12067398?wid=325&hei=325&qlt=80&fmt=pjpeg","http://ecx.images-amazon.com/images/I/41tLAUyOLlL._SL75_.jpg","15696  7248",0.40041067761807,0.016,-1,2.08061136286683E-10
208,"https://images.bonanzastatic.com/afu/images/62a9/d65a/286c_6133566654/__57_thumb200.png","http://ecx.images-amazon.com/images/I/515GZYuMXfL._SL75_.jpg","14480  12880",0.400890868596882,0.1014,-1,0.304712361549475
