"categoryname","domain","item","nexturl","page","pageType","url"
"Antunes Steamers","www.katom.com",25,,30,"search","https://www.katom.com/cat/roundup-steamers.html"
"Antunes Vertical Toasters","www.katom.com",24,,24,"search","https://www.katom.com/cat/roundup-vertical-toasters.html"
"Antunes Drop-In Cup Dispensers","www.katom.com",7,,7,"search","https://www.katom.com/cat/roundup-drop-in-cup-dispensers.html"
"Scotsman Ice Nugget Maker","www.katom.com",18,,18,"search","https://www.katom.com/cat/scotsman-nugget-ice-machine.html"
"T&S Pot Filler","www.katom.com",25,,75,"search","https://www.katom.com/cat/ts-brass-potkettle-fillers-faucets.html"
"Advance Tabco Cocktail Units","www.katom.com",25,,154,"search","https://www.katom.com/cat/supreme-metal-cocktail-units.html"
"Scotsman Remote Condensing Units","www.katom.com",10,,10,"search","https://www.katom.com/cat/scotsman-remote-condensing-units.html"
"Advance Tabco Ice Bins","www.katom.com",25,,106,"search","https://www.katom.com/cat/supreme-metal-ice-bins.html"
"Advance Tabco Bar Sinks","www.katom.com",25,,146,"search","https://www.katom.com/cat/supreme-metal-bar-sinks.html"
"Advance Tabco Speed Rails","www.katom.com",25,,83,"search","https://www.katom.com/cat/supreme-metal-speed-rails.html"
"Update Pizza Peels","www.katom.com",12,,12,"search","https://www.katom.com/cat/update-pizza-peels.html"
"Taylor Thermometers & Timers","www.katom.com",25,,186,"search","https://www.katom.com/cat/taylor-precision-products.html"
"Update Pizza Accessories","www.katom.com",14,,14,"search","https://www.katom.com/cat/update-pizza-accessories.html"
"Tuxton Fine Ceramic Dinnerware","www.katom.com",25,,308,"search","https://www.katom.com/cat/tuxton-china.html"
"Univex Restaurant Equipment","www.katom.com",25,,159,"search","https://www.katom.com/cat/univex.html"
"Update Cutlery, Knives, & Sharpening Stone","www.katom.com",25,,41,"search","https://www.katom.com/cat/update-cutlery.html"
"Update Frying Pans","www.katom.com",25,,64,"search","https://www.katom.com/cat/update-fry-pans.html"
"Update Sauce Pans & Pots","www.katom.com",25,,36,"search","https://www.katom.com/cat/update-sauce-pans.html"
"Update Pastry Bags, Tubes & Accessories","www.katom.com",7,,7,"search","https://www.katom.com/cat/update-cake-decorating-bags-tubes-accessories.html"
"Update Double Boiler & Pasta Pot","www.katom.com",14,,14,"search","https://www.katom.com/cat/update-double-boiler.html"
"Update Wire Racks, Grates & Doughnut Screens","www.katom.com",10,,10,"search","https://www.katom.com/cat/update-wire-racks-grates-screens.html"
"Update Pizza Screens","www.katom.com",24,,24,"search","https://www.katom.com/cat/update-pizza-screens.html"
"Table Tents & Number Cards","www.katom.com",25,,114,"search","https://www.katom.com/cat/table-tents-and-number-cards.html"
